device_id,event_ts,event_date,event_hour_utc,ping_latitude,ping_longitude,accuracy_m,activity_type,store_id,store_name,store_status,catchment_radius_m,distance_to_store_m
dev_a,2026-09-22 08:05:00,2026-09-22,8,12.9758,77.6066,8.0,morning_commute,store_a,Store A - MG Road,existing,500.0,22.2
dev_a,2026-09-22 08:05:00,2026-09-22,8,12.9758,77.6066,8.0,morning_commute,store_a,Store A - MG Road,existing,500.0,24.0
dev_a,2026-09-22 08:20:00,2026-09-22,8,12.9745,77.6070,9.0,morning_commute,store_a,Store A - MG Road,existing,500.0,130.0
dev_b,2026-09-22 08:30:00,2026-09-22,8,12.9730,77.6068,12.0,morning_commute,store_a,Store A - MG Road,existing,500.0,290.0
dev_c,2026-09-22 08:31:00,2026-09-22,8,12.9732,77.6069,10.0,morning_commute,store_a,Store A - MG Road,existing,500.0,275.0
dev_d,2026-09-22 08:32:00,2026-09-22,8,12.9734,77.6067,11.0,morning_commute,store_a,Store A - MG Road,existing,500.0,260.0
dev_e,2026-09-22 08:33:00,2026-09-22,8,12.9736,77.6065,13.0,morning_commute,store_a,Store A - MG Road,existing,500.0,245.0
dev_f,2026-09-22 08:34:00,2026-09-22,8,12.9738,77.6063,7.0,morning_commute,store_a,Store A - MG Road,existing,500.0,225.0
dev_g,2026-09-22 08:35:00,2026-09-22,8,12.9740,77.6061,9.0,morning_commute,store_a,Store A - MG Road,existing,500.0,205.0
dev_h,2026-09-22 08:36:00,2026-09-22,8,12.9742,77.6059,8.0,morning_commute,store_a,Store A - MG Road,existing,500.0,185.0
dev_i,2026-09-22 08:37:00,2026-09-22,8,12.9744,77.6057,12.0,morning_commute,store_a,Store A - MG Road,existing,500.0,165.0
dev_j,2026-09-22 08:38:00,2026-09-22,8,12.9746,77.6055,10.0,morning_commute,store_a,Store A - MG Road,existing,500.0,145.0
dev_a,2026-09-22 08:20:00,2026-09-22,8,12.9745,77.6070,9.0,morning_commute,store_b,Store B - Brigade Road,proposed,500.0,290.0
dev_b,2026-09-22 08:30:00,2026-09-22,8,12.9730,77.6068,12.0,morning_commute,store_b,Store B - Brigade Road,proposed,500.0,125.0
dev_c,2026-09-22 08:31:00,2026-09-22,8,12.9732,77.6069,10.0,morning_commute,store_b,Store B - Brigade Road,proposed,500.0,115.0
dev_x,2026-09-22 08:40:00,2026-09-22,8,12.9728,77.6071,8.0,morning_commute,store_b,Store B - Brigade Road,proposed,500.0,95.0
dev_a,2026-09-22 18:05:00,2026-09-22,18,12.9757,77.6065,7.0,evening_commute,store_a,Store A - MG Road,existing,500.0,16.0
dev_c,2026-09-22 18:15:00,2026-09-22,18,12.9760,77.6070,11.0,evening_commute,store_a,Store A - MG Road,existing,500.0,62.0
dev_d,2026-09-22 18:45:00,2026-09-22,18,12.9740,77.6060,15.0,evening_commute,store_a,Store A - MG Road,existing,500.0,190.0
